G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Position
1,2015-10-28,30-002,IND,@,TOR,L (-7),1,28:32,3,11,.273,0,1,.000,3,4,.750,0,0,0,6,2,0,2,4,9,4.7,-5,2.0
2,2015-10-29,30-003,IND,,MEM,L (-9),1,32:16,3,12,.250,1,4,.250,2,3,.667,1,1,2,3,0,0,4,3,9,-0.7,-21,2.0
3,2015-10-31,30-005,IND,,UTA,L (-21),1,32:05,5,14,.357,0,2,.000,2,2,1.000,0,4,4,3,2,2,4,1,12,6.5,-13,2.0
4,2015-11-03,30-008,IND,@,DET,W (+12),1,33:25,7,16,.438,1,4,.250,0,0,,1,2,3,3,3,0,3,4,15,8.4,+1,2.0
5,2015-11-04,30-009,IND,,BOS,W (+2),1,33:28,5,15,.333,1,4,.250,2,2,1.000,1,4,5,8,1,0,3,2,13,9.2,+15,2.0
6,2015-11-06,30-011,IND,,MIA,W (+3),1,36:27,2,8,.250,0,2,.000,0,0,,0,4,4,8,1,0,3,1,4,3.6,+7,2.0
7,2015-11-08,30-013,IND,@,CLE,L (-4),1,34:27,10,17,.588,2,4,.500,3,4,.750,0,5,5,3,1,0,0,2,25,20.5,-6,2.0
8,2015-11-09,30-014,IND,,ORL,W (+13),1,33:27,1,9,.111,0,2,.000,0,0,,0,4,4,4,2,0,2,1,2,-0.3,-5,2.0
9,2015-11-11,30-016,IND,@,BOS,W (+11),1,35:02,4,9,.444,1,3,.333,4,6,.667,1,1,2,6,4,0,2,3,13,13.5,+15,2.0
10,2015-11-13,30-018,IND,,MIN,W (+4),1,36:51,11,17,.647,1,4,.250,1,2,.500,1,2,3,5,2,1,2,2,24,20.8,+7,2.0
11,2015-11-16,30-021,IND,@,CHI,L (-1),1,35:55,9,20,.450,0,2,.000,2,2,1.000,2,2,4,6,1,1,3,5,20,12.5,+6,2.0
12,2015-11-18,30-023,IND,@,PHI,W (+27),1,26:37,3,7,.429,1,2,.500,0,0,,0,3,3,9,2,2,5,1,7,8.5,+29,2.0
13,2015-11-21,30-026,IND,,MIL,W (+37),1,30:17,5,9,.556,1,1,1.000,1,3,.333,1,4,5,5,2,1,3,2,12,11.2,+26,2.0
14,2015-11-24,30-029,IND,@,WAS,W (+17),1,35:16,4,9,.444,0,1,.000,2,4,.500,0,5,5,5,1,0,5,3,10,4.3,+20,2.0
15,2015-11-27,30-032,IND,,CHI,W (+12),1,30:05,5,13,.385,0,3,.000,4,6,.667,2,3,5,5,3,0,0,0,14,14.9,+6,2.0
16,2015-11-29,30-034,IND,@,LAL,W (+4),1,36:24,5,7,.714,1,2,.500,4,4,1.000,0,3,3,6,0,1,4,1,15,13.5,+11,2.0
17,2015-12-02,30-037,IND,@,LAC,W (+12),1,34:02,4,8,.500,0,1,.000,2,2,1.000,0,4,4,1,2,1,1,1,10,9.2,+12,2.0
18,2015-12-03,30-038,IND,@,POR,L (-12),1,17:59,1,1,1.000,0,0,,0,0,,0,0,0,2,0,0,0,1,2,2.7,+1,2.0
19,2015-12-05,30-040,IND,@,UTA,L (-3),1,30:42,2,11,.182,0,2,.000,2,2,1.000,0,1,1,4,1,1,3,4,6,-0.7,-9,2.0
20,2015-12-08,30-043,IND,,GSW,L (-8),1,38:08,4,11,.364,0,2,.000,1,2,.500,0,2,2,5,1,1,6,2,9,1.5,-4,2.0
21,2015-12-11,30-046,IND,,MIA,W (+13),1,36:04,10,18,.556,4,7,.571,0,0,,0,4,4,6,6,0,2,4,24,23.2,+23,2.0
22,2015-12-12,30-047,IND,@,DET,L (-22),1,24:22,4,10,.400,1,1,1.000,2,4,.500,0,1,1,3,2,1,3,3,11,5.7,-24,2.0
23,2015-12-14,30-049,IND,,TOR,W (+16),1,30:28,7,15,.467,1,4,.250,3,3,1.000,0,2,2,1,3,0,3,1,18,11.2,-3,2.0
24,2015-12-16,30-051,IND,,DAL,W (+26),1,32:49,7,17,.412,3,5,.600,2,2,1.000,0,2,2,3,2,1,0,2,19,14.5,+14,2.0
25,2015-12-18,30-053,IND,,BRK,W (+7),1,34:05,1,8,.125,0,3,.000,0,0,,0,1,1,5,2,0,1,3,2,0.4,-3,2.0
26,2015-12-19,30-054,IND,@,MEM,L (-12),1,36:48,6,12,.500,0,4,.000,1,2,.500,1,1,2,1,2,1,0,0,13,11.0,-3,2.0
27,2015-12-21,30-056,IND,@,SAS,L (-14),1,28:45,3,10,.300,0,1,.000,0,0,,1,2,3,6,0,1,0,2,6,5.6,-6,2.0
28,2015-12-23,30-058,IND,,SAC,L (-2),1,37:18,8,13,.615,3,5,.600,2,4,.500,1,1,2,6,3,0,1,2,21,20.7,+13,2.0
29,2015-12-26,30-061,IND,@,MIN,W (+14),1,36:01,8,15,.533,1,5,.200,5,5,1.000,1,5,6,3,1,0,6,0,22,14.0,+2,2.0
30,2015-12-28,30-063,IND,,ATL,W (+6),1,36:15,10,20,.500,4,9,.444,2,2,1.000,1,2,3,2,2,1,3,0,26,18.4,-3,2.0
31,2015-12-30,30-065,IND,@,CHI,L (-2),1,35:25,4,19,.211,1,5,.200,4,4,1.000,0,1,1,5,2,0,3,3,13,2.9,-3,2.0
32,2015-12-31,30-066,IND,,MIL,L (-4),1,32:41,5,9,.556,0,3,.000,3,4,.750,0,0,0,7,1,2,8,5,13,5.6,-5,2.0
33,2016-01-02,30-068,IND,,DET,W (+12),1,33:39,5,14,.357,1,3,.333,3,3,1.000,0,3,3,3,1,2,0,1,14,11.2,+14,2.0
34,2016-01-04,30-070,IND,@,MIA,L (-3),1,41:03,8,17,.471,1,3,.333,0,1,.000,1,2,3,9,0,0,1,2,17,13.7,+5,2.0
35,2016-01-06,30-072,IND,@,ORL,W (+9),1,35:20,6,13,.462,1,5,.200,6,6,1.000,1,3,4,7,4,0,5,3,19,16.6,+16,2.0
36,2016-01-08,30-074,IND,@,NOP,W (+5),1,33:38,5,11,.455,0,1,.000,0,0,,1,3,4,8,1,1,6,3,10,6.0,-4,2.0
37,2016-01-10,30-076,IND,@,HOU,L (-4),1,38:48,5,11,.455,1,3,.333,0,0,,0,2,2,13,1,0,4,2,11,11.2,-7,2.0
38,2016-01-12,30-078,IND,,PHO,W (+19),1,34:13,6,14,.429,1,3,.333,1,2,.500,0,0,0,7,4,0,2,1,14,12.7,+19,2.0
39,2016-01-13,30-079,IND,@,BOS,L (-9),1,34:40,6,16,.375,0,5,.000,0,0,,0,1,1,5,1,0,5,2,12,2.2,-11,2.0
40,2016-01-15,30-081,IND,,WAS,L (-14),1,37:16,7,14,.500,0,2,.000,3,5,.600,0,3,3,3,1,1,0,1,17,13.5,-7,2.0
41,2016-01-17,30-083,IND,@,DEN,L (-3),1,31:55,10,17,.588,2,3,.667,2,5,.400,0,2,2,5,1,1,4,4,24,15.1,-5,2.0
